gene,score,logfoldchange,pval,pval_adj
NR4A1,60.61678695678711,1.1499781608581543,0.0,0.0
NR4A2,39.49617385864258,1.5212974548339844,0.0,0.0
IQCN,39.203277587890625,1.1969393491744995,0.0,0.0
LMNA,36.965023040771484,0.5183075666427612,4.178471352914809e-299,3.285005174061112e-296
SCGB1A1,30.045732498168945,0.6701703071594238,2.4823282184370626e-198,1.246818301271638e-195
FOSB,29.069067001342773,0.5795912742614746,8.836119096803018e-186,3.7156908257765626e-183
UTY,29.01029396057129,0.8831676244735718,4.8794733118299955e-185,2.0052417369206813e-182
MAFK,27.818239212036133,0.6784442663192749,2.610357039470913e-170,9.833432497440219e-168
KDM5D,26.98827362060547,0.7502374649047852,2.029066803002061e-160,7.194036457232013e-158
SRRM2,26.652677536010742,0.430095374584198,1.6662496186170444e-156,5.684740679968565e-154
ANKRD10,25.85198211669922,0.40962541103363037,2.3113416689916014e-147,6.633917469635895e-145
PRB4,25.691856384277344,4.805907249450684,1.4414304227552239e-145,4.0724913912906187e-143
SRSF5,25.50879669189453,0.4379510283470154,1.5745100149499398e-143,4.1868073662242366e-141
NR4A3,25.496036529541016,1.5508434772491455,2.181241957287073e-143,5.716118416183312e-141
LENG8,25.04122543334961,0.26400214433670044,2.175713675089882e-138,5.3892129689007194e-136
ARRDC3,24.42279624938965,0.45936182141304016,9.794102471020979e-132,2.2999605309220954e-129
PRB3,24.32122802734375,3.531324625015259,1.1690226824453772e-130,2.7100343774329885e-128
SYNE1,24.06081199645996,0.4989016354084015,6.433247690089364e-128,1.4015178883397094e-125
DLC1,23.83867645263672,0.5065729022026062,1.3271575743127445e-125,2.8232545010262406e-123
SNRNP70,23.052570343017578,0.49571019411087036,1.3861396774176774e-117,2.8482020053484596e-115
FOS,22.461441040039062,0.3444100320339203,9.892884928625606e-112,1.9030121838234915e-109
NEDD9,22.316747665405273,0.46999046206474304,2.5412006250144636e-110,4.83684102121174e-108
MYO15B,22.089624404907227,0.39054083824157715,3.976946356342101e-108,7.490744168268529e-106
CIRBP,21.76633644104004,0.21715359389781952,4.837795446141761e-105,8.576178162464247e-103
FLCN,20.73377799987793,0.6386902928352356,1.717631372291687e-95,2.70071395424159e-93
CYP4B1,20.501394271850586,0.4323560297489166,2.0921665391662845e-93,3.205979267898708e-91
ZNF331,20.2694091796875,0.7487384080886841,2.395120746977994e-91,3.549883061217712e-89
N4BP2L2,19.997709274291992,0.31127604842185974,5.766100499168002e-89,8.082374358601225e-87
WSB1,19.782432556152344,0.24895517528057098,4.218419472571266e-87,5.778595522957093e-85
USP34,19.304174423217773,0.32158899307250977,4.9540097398896896e-83,6.491188704107636e-81
ZSCAN18,19.266443252563477,0.6332336664199829,1.0276124525421202e-82,1.3178218699905403e-80
PRKAR1A,18.847885131835938,0.2979685068130493,3.058219927827157e-79,3.761818553399364e-77
ECHDC2,18.798978805541992,0.404263436794281,7.698414336295774e-79,9.405589731682445e-77
CREBZF,18.64984893798828,0.37408995628356934,1.266325666102011e-77,1.5265133796304376e-75
BPIFB1,18.509471893310547,1.519503116607666,1.731928983126006e-76,2.0335545372002885e-74
TCF25,17.919095993041992,0.2688724100589752,8.367721035944882e-72,9.060187531254811e-70
SCGB3A1,17.871700286865234,0.5599671006202698,1.9592816643938707e-71,2.1087935152124984e-69
CHD2,17.38035011291504,0.2518928647041321,1.1624332132181716e-67,1.16772874230061e-65
RBM39,16.97060203552246,0.3778803050518036,1.3553517165002531e-64,1.2831135988354754e-62
MAPK8IP3,16.922805786132812,0.42390626668930054,3.05524133932414e-64,2.877337182169745e-62
MUC20,16.54511833190918,0.7172704339027405,1.7362535686645732e-61,1.531460342858186e-59
MYADM,16.32547378540039,0.34111127257347107,6.503459457502224e-60,5.59978828145501e-58
AZGP1,15.998815536499023,1.6512765884399414,1.3022818365027584e-57,1.0655140347349719e-55
AMOTL2,15.966327667236328,0.46551984548568726,2.1932586561190227e-57,1.78641905495244e-55
SRSF11,15.741706848144531,0.4636309742927551,7.830270780495688e-56,6.292753611241024e-54
ARIH1,15.73261547088623,0.3901556730270386,9.03982241774992e-56,7.232657918484692e-54
CCN1,15.532093048095703,0.35774606466293335,2.1039847759485776e-54,1.6541486652798513e-52
HIF3A,15.504091262817383,0.5768340826034546,3.254901218322149e-54,2.5368587857629785e-52
CD46,15.477570533752441,0.2725357711315155,4.9169408207667545e-54,3.767293386487477e-52
MEIS1,15.337297439575195,0.3974234461784363,4.307608241536331e-53,3.231957353670536e-51
LMCD1,15.326974868774414,0.5272890329360962,5.049586461098168e-53,3.773000925189135e-51
INTS11,15.165363311767578,0.29093608260154724,5.996589322602768e-52,4.443865907020625e-50
FAM193B,15.127093315124512,0.2821037471294403,1.073329888630606e-51,7.889410994397811e-50
EGFL7,15.100683212280273,0.44951939582824707,1.6026369254442954e-51,1.1591552354353499e-49
ANKHD1,15.045260429382324,0.2509647011756897,3.7086981066308595e-51,2.6506197298062925e-49
SH3RF1,15.032873153686523,0.42306825518608093,4.471806240373374e-51,3.1834330881272186e-49
WDR33,14.994380950927734,0.34020859003067017,7.990395796598378e-51,5.665973991925172e-49
LUC7L3,14.982218742370605,0.1908823400735855,9.595878096362604e-51,6.7778385835323676e-49
RGL3,14.957328796386719,0.5890589356422424,1.3951406338707476e-50,9.815927214650138e-49
USP9Y,14.863469123840332,1.0058103799819946,5.690055861285904e-50,3.942053259914625e-48
LIMS2,14.713264465332031,0.3896160423755646,5.29886016210344e-49,3.5486662759686817e-47
