pathway,NES,padj,size
Axoneme Assembly (GO:0035082),2.1613374194182247,0.0,41
Cilium Movement (GO:0003341),2.1450778599515465,0.0,59
Mucosal Immune Response (GO:0002385),2.029271827546598,0.0,28
Innate Immune Response In Mucosa (GO:0002227),1.9829841463031734,0.0,21
Spermatid Development (GO:0007286),1.898759892144091,0.0,53
Cilium-Dependent Cell Motility (GO:0060285),1.8821611544713712,0.0,20
Dopaminergic Neuron Differentiation (GO:0071542),1.8637468248091567,0.20642273128032684,19
Ammonium Transmembrane Transport (GO:0072488),1.8620269118307113,0.0,10
Positive Regulation Of Behavior (GO:0048520),1.8496814392016545,0.1945788562297821,11
Chloride Ion Homeostasis (GO:0055064),1.8426883808489247,0.0,9
Monoatomic Anion Homeostasis (GO:0055081),1.8426883808489247,0.0,9
Sensory Perception Of Bitter Taste (GO:0050913),1.8202981155672342,0.0,42
Positive Regulation Of Fatty Acid Oxidation (GO:0046321),1.8037176811337141,0.14107096195220947,12
"Synaptic Transmission, GABAergic (GO:0051932)",1.7963126045531794,0.19643710553646088,14
Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580),1.7925851106348984,0.0,41
Axonemal Dynein Complex Assembly (GO:0070286),1.7771016874637857,0.2679375410079956,37
Spinal Cord Development (GO:0021510),1.7712223004940038,0.2720797657966614,12
Sulfur Amino Acid Biosynthetic Process (GO:0000097),1.7587652438907688,0.0,7
Endocardial Cushion Development (GO:0003197),1.7571864213836188,0.15961891412734985,23
Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste (GO:0050912),1.7464225880955337,0.0,45
Negative Regulation Of Myoblast Differentiation (GO:0045662),1.7452174055041392,0.2727261781692505,13
Metanephric Nephron Tubule Development (GO:0072234),1.7450094148520339,0.11275564134120941,6
Establishment Of Planar Polarity (GO:0001736),1.7407885329749777,0.2727261781692505,7
Noradrenergic Neuron Differentiation (GO:0003357),1.7339870736122605,0.10504399985074997,6
Intraciliary Retrograde Transport (GO:0035721),1.7320077381722039,0.278095543384552,13
Long-Term Synaptic Potentiation (GO:0060291),1.725593580932107,0.0,20
Neurotransmitter-Gated Ion Channel Clustering (GO:0072578),1.7175911550565102,0.0,5
Anterior/Posterior Axis Specification (GO:0009948),1.7158764299309184,0.2417721450328827,20
Regulation Of Cilium Movement (GO:0003352),1.7048052007882213,0.35393857955932617,11
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),1.7044278385344722,0.0,34
Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),1.7021300228947474,0.2799047529697418,12
Homocysteine Metabolic Process (GO:0050667),1.694101029499687,0.21380597352981567,9
Neural Tube Development (GO:0021915),1.6935195824699365,0.20604099333286285,17
Sensory Perception Of Chemical Stimulus (GO:0007606),1.690486765608176,0.0,110
Microtubule Bundle Formation (GO:0001578),1.687122145231713,0.0,51
Aspartate Family Amino Acid Biosynthetic Process (GO:0009067),1.6822584842235642,0.2299695760011673,7
Inner Dynein Arm Assembly (GO:0036159),1.6765525053560602,0.22397811710834503,14
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),1.6645752283520172,0.0,118
Negative Regulation Of Gluconeogenesis (GO:0045721),1.6636635936747954,0.3284205496311188,15
Blood Vessel Endothelial Cell Migration (GO:0043534),1.660690239623885,0.2667597830295563,22
Skeletal System Morphogenesis (GO:0048705),1.6599032372461908,0.0,43
Midbrain Dopaminergic Neuron Differentiation (GO:1904948),1.659527210006909,0.3015846014022827,10
Negative Regulation Of Epidermal Cell Differentiation (GO:0045605),1.658583279252025,0.1672295182943344,6
Non-Motile Cilium Assembly (GO:1905515),1.657576272703468,0.2339611053466797,31
Positive Regulation Of Interleukin-5 Production (GO:0032754),1.6573536524695807,0.2823057472705841,6
Mesodermal Cell Fate Commitment (GO:0001710),1.6567731775409915,0.1672295182943344,5
Central Nervous System Neuron Differentiation (GO:0021953),1.655027885836482,0.17154771089553833,31
Cardiac Pacemaker Cell Development (GO:0060926),1.651058407315298,0.22817571461200714,6
Wnt Signaling Pathway (GO:0016055),1.6456606215582033,0.0,76
DNA Methylation (GO:0006306),1.6410533602306292,0.2560403347015381,20
Cell-Cell Signaling By Wnt (GO:0198738),1.6372266216726534,0.278095543384552,23
Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907),1.6324685447252592,0.0,141
Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144),1.6267585026859601,0.1863284856081009,31
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),1.6256402378613326,0.39905598759651184,17
Myofibril Assembly (GO:0030239),1.6237098595625374,0.20129479467868805,46
DNA Alkylation (GO:0006305),1.617602896778257,0.27121737599372864,15
Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235),1.6087350951930073,0.3398267924785614,12
Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911),1.607786706907747,0.0,139
Positive Regulation Of Vascular Permeability (GO:0043117),1.6061630931990958,0.3737137019634247,11
Pulmonary Valve Morphogenesis (GO:0003184),1.6014437559977865,0.3398267924785614,18
Intestinal Cholesterol Absorption (GO:0030299),1.5994982935616637,0.29823604226112366,9
Cilium Movement Involved In Cell Motility (GO:0060294),1.5962286732530253,0.36679697036743164,8
Type B Pancreatic Cell Differentiation (GO:0003309),1.5931056169131872,0.25147828459739685,8
