pathway,NES,padj,size
Retina Homeostasis (GO:0001895),1.9279510546950962,0.0,39
HALLMARK_MYC_TARGETS_V1,1.9189924114208987,0.0,200
Lymphocyte Activation Involved In Immune Response (GO:0002285),1.9175721155370244,0.0,23
Proton Motive Force-Driven ATP Synthesis (GO:0015986),1.8962497081038194,0.0,60
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),1.8803384540946244,0.0,53
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.8762696030149744,0.0,70
Oxidative Phosphorylation (GO:0006119),1.8727783586324844,0.0,63
Aerobic Electron Transport Chain (GO:0019646),1.8694401592393555,0.0,68
Type I Interferon-Mediated Signaling Pathway (GO:0060337),1.8162188550261047,0.0,37
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.8076959056697899,0.0,200
Cellular Respiration (GO:0045333),1.8035033770829367,0.0,85
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.7952484930057777,0.0,97
Aerobic Respiration (GO:0009060),1.7873548746384564,0.0,59
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.7778390810374627,0.0,200
Cellular Response To Type I Interferon (GO:0071357),1.7728061550566843,0.0,38
Protein N-linked Glycosylation Via Asparagine (GO:0018279),1.766012360941482,0.0,23
Collagen Fibril Organization (GO:0030199),1.7577772084519483,0.0,42
Response To Ethanol (GO:0045471),1.750454981035512,0.0,18
HALLMARK_ALLOGRAFT_REJECTION,1.7453129245441812,0.0,200
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",1.7392119555061256,0.0,34
T Cell Activation Involved In Immune Response (GO:0002286),1.732012587318852,0.0,27
Interferon-Mediated Signaling Pathway (GO:0140888),1.730641995065885,0.0,49
ATP Biosynthetic Process (GO:0006754),1.7257370743198057,0.0,25
B Cell Receptor Signaling Pathway (GO:0050853),1.715953604802292,0.0,46
HALLMARK_ANGIOGENESIS,1.6867829702328012,0.0,36
Cellular Response To Superoxide (GO:0071451),1.683985709271553,0.0,11
Superoxide Metabolic Process (GO:0006801),1.680505773114533,0.0,34
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),1.6787785051420168,0.0,53
NADH Dehydrogenase Complex Assembly (GO:0010257),1.6787785051420168,0.0,53
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),1.6750095526802355,0.0,19
